
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:85:2A:AD:BB:59, 2016-02-12 00:17:32, 2016-02-12 00:17:42,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,        2,        0,   0.  0.  0.  0,   0, , 
00:0E:58:16:57:C7, 2016-02-12 00:17:20, 2016-02-12 00:17:20,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:0E:58:C0:AC:81, 2016-02-12 00:17:20, 2016-02-12 00:17:20,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
40:4A:03:DE:C0:D3, 2016-02-12 00:17:19, 2016-02-12 00:17:19,  3,  54, WPA2 WPA, CCMP TKIP,PSK, -83,        1,        0,   0.  0.  0.  0,   8, KitKatKo, 
10:0D:7F:D2:1F:E0, 2016-02-12 00:17:18, 2016-02-12 00:17:22,  2,  54, WPA2, CCMP,PSK, -86,        3,        0,   0.  0.  0.  0,  25, This is not your internet, 
E8:ED:05:D2:F3:40, 2016-02-12 00:17:14, 2016-02-12 00:17:21,  1,  54, WPA2, CCMP TKIP,PSK, -87,        5,        0,   0.  0.  0.  0,   9, HOME-F342, 
D8:EB:97:A8:2A:5C, 2016-02-12 00:17:17, 2016-02-12 00:17:17,  6,  54, WPA2, CCMP,PSK, -91,        1,        0,   0.  0.  0.  0,  17, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
02:1D:D2:B4:8D:E0, 2016-02-12 00:17:17, 2016-02-12 00:17:17,  6,  54, WPA2, CCMP,PSK, -90,        1,        0,   0.  0.  0.  0,   0, , 
96:C7:92:1E:D3:30, 2016-02-12 00:17:16, 2016-02-12 00:18:07, 11,  54, OPN, ,   , -89,       16,        0,   0.  0.  0.  0,  11, xfinitywifi, 
92:C7:92:1E:D3:30, 2016-02-12 00:17:20, 2016-02-12 00:18:07, 11,  54, WPA2, CCMP,PSK, -89,       20,        0,   0.  0.  0.  0,   0, , 
90:C7:92:1E:D3:30, 2016-02-12 00:17:20, 2016-02-12 00:18:07, 11,  54, WPA2, CCMP,PSK, -89,       24,        0,   0.  0.  0.  0,  12, NormanTheCat, 
EC:1A:59:3B:91:66, 2016-02-12 00:17:20, 2016-02-12 00:18:06, 11,  54, WPA2, CCMP,PSK, -88,       10,        0,   0.  0.  0.  0,  10, belkin.166, 
74:85:2A:AD:BB:5A, 2016-02-12 00:17:28, 2016-02-12 00:18:07,  1,  54, OPN, ,   , -88,        4,        0,   0.  0.  0.  0,  11, xfinitywifi, 
EC:1A:59:3B:91:69, 2016-02-12 00:17:16, 2016-02-12 00:18:07, 11,  54, WPA2, CCMP TKIP,PSK, -88,       24,        0,   0.  0.  0.  0,  17, belkin.166.guests, 
C8:B3:73:3D:73:5F, 2016-02-12 00:17:17, 2016-02-12 00:18:07,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -87,       24,        0,   0.  0.  0.  0,  10, Alcyone305, 
B4:75:0E:D5:00:30, 2016-02-12 00:17:31, 2016-02-12 00:18:07,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        6,        0,   0.  0.  0.  0,   6, Totoro, 
B4:75:0E:D5:00:31, 2016-02-12 00:17:24, 2016-02-12 00:18:03,  6,  54, OPN, ,   , -87,        6,        0,   0.  0.  0.  0,  12, Totoro-guest, 
96:C7:92:32:E7:60, 2016-02-12 00:17:17, 2016-02-12 00:18:07,  6,  54, OPN, ,   , -86,       31,        0,   0.  0.  0.  0,  11, xfinitywifi, 
10:7B:EF:8F:39:35, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -86,       13,        0,   0.  0.  0.  0,  22, PenguinButlerPenthouse, 
9C:D3:6D:99:14:0B, 2016-02-12 00:17:16, 2016-02-12 00:18:06, 11,  54, WPA2, CCMP,PSK, -86,       21,        1,   0.  0.  0.  0,  17, "April Lane's 2.4 ", 
44:32:C8:D0:73:10, 2016-02-12 00:17:20, 2016-02-12 00:18:07,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -86,       21,        3,   0.  0.  0.  0,   9, HOME-7310, 
84:C9:B2:54:C6:F5, 2016-02-12 00:17:23, 2016-02-12 00:18:06,  5,  54, WPA, CCMP TKIP,PSK, -85,        5,        0,   0.  0.  0.  0,  15, Wee Ones Parade, 
92:C7:92:32:E7:60, 2016-02-12 00:17:17, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP,PSK, -85,       26,        0,   0.  0.  0.  0,   0, , 
90:C7:92:32:E7:60, 2016-02-12 00:17:17, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP TKIP,PSK, -85,       31,        0,   0.  0.  0.  0,   9, HOME-E762, 
46:32:C8:D0:73:11, 2016-02-12 00:17:24, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP,PSK, -85,        8,        0,   0.  0.  0.  0,  12, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
22:AA:4B:94:44:AA, 2016-02-12 00:17:28, 2016-02-12 00:18:00,  7,  54, OPN, ,   , -85,        4,        0,   0.  0.  0.  0,  12, Eltana-guest, 
00:1D:D5:83:D5:40, 2016-02-12 00:17:16, 2016-02-12 00:18:06, 11,  54, WPA2, CCMP,PSK, -85,       53,        1,   0.  0.  0.  0,  12, Tim&Meredith, 
06:1D:D5:83:D5:40, 2016-02-12 00:17:20, 2016-02-12 00:18:07, 11,  54, OPN, ,   , -84,        4,        0,   0.  0.  0.  0,  11, xfinitywifi, 
02:1D:D5:83:D5:40, 2016-02-12 00:17:16, 2016-02-12 00:18:06, 11,  54, WPA2, CCMP,PSK, -84,       22,        0,   0.  0.  0.  0,   0, , 
00:71:C2:61:EE:2A, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  1,  54, OPN, ,   , -84,       44,        0,   0.  0.  0.  0,  11, xfinitywifi, 
20:AA:4B:94:44:A9, 2016-02-12 00:17:14, 2016-02-12 00:18:00,  7,  54, WPA2, CCMP,PSK, -84,        2,        2,   0.  0.  0.  0,   6, Eltana, 
94:44:52:F7:42:E7, 2016-02-12 00:17:24, 2016-02-12 00:18:03, 11,  54, WPA2 WPA, CCMP,PSK, -84,        8,        1,   0.  0.  0.  0,   3, KCD, 
00:71:C2:61:EE:29, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -83,       47,        0,   0.  0.  0.  0,   0, , 
E8:3E:FC:9F:45:10, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2, CCMP TKIP,PSK, -84,       37,        0,   0.  0.  0.  0,   6, Fovich, 
